lex,sent,Labels
gun,37,2
reflect,37,85
0,37,85
a,37,85
tool,37,85
0,38,85
0,38,85
label,38,85
0,38,85
0,38,85
0,38,85
0,39,85
gun,39,2
reflect,39,85
0,39,85
0,39,85
0,39,85
0,40,85
0,40,85
sun,40,85
0,40,85
of,40,85
democracy,40,2
0,41,85
0,41,85
sun,41,85
0,41,85
0,41,85
0,41,85
0,42,85
0,42,85
label,42,85
0,42,85
of,42,85
democracy,42,2
0,43,85
0,43,85
polarization,43,85
0,43,85
0,43,85
0,43,85
0,44,85
0,44,85
transmission,44,85
0,44,85
of,44,85
wealth,44,2
0,45,85
0,45,85
Lamp,45,85
0,45,85
0,45,85
0,45,85
0,46,85
0,46,85
polarization,46,85
0,46,85
income,46,2
polarization,46,85
0,47,85
0,47,85
beacon,47,85
0,47,85
0,47,85
0,47,85
0,48,85
0,48,85
beacon,48,85
0,48,85
for,48,85
rest,48,85
0,49,85
0,49,85
beacon,49,85
0,49,85
democracy,49,2
beacon,49,85
We,50,85
0,50,85
beacon,50,85
0,50,85
of,50,85
world,50,85
0,51,85
0,51,85
veneer,51,85
0,51,85
democracy,51,3
veneer,51,85
0,52,85
0,52,85
veneer,52,85
0,52,85
0,52,85
0,52,85
0,53,85
0,53,85
partition,53,85
0,53,85
0,53,85
0,53,85
0,54,85
0,54,85
partition,54,85
0,54,85
of,54,85
wealth,54,3
0,55,85
0,55,85
glamour,55,85
0,55,85
0,55,85
0,55,85
0,56,85
0,56,85
curtain,56,85
0,56,85
of,56,85
taxation,56,3
you,57,85
0,57,85
fall,57,85
0,57,85
0,57,85
0,57,85
0,58,85
0,58,85
shelved,58,85
0,58,85
tax,58,3
shelved,58,85
0,59,85
0,59,85
shelved,59,85
0,59,85
0,59,85
0,59,85
0,60,85
0,60,85
glamour,60,85
0,60,85
of,60,85
wealth,60,3
0,61,85
0,61,85
carpet,61,85
0,61,85
beautiful,61,85
carpet,61,85
0,62,85
0,62,85
pinnacle,62,85
0,62,85
0,62,85
0,62,85
government,63,5
0,63,85
friend,63,85
0,63,85
0,63,85
0,63,85
government,64,5
0,64,85
friend,64,85
0,64,85
American,64,85
friend,64,85
You,65,85
gun,65,5
divorce,65,85
0,65,85
from,65,85
Constitution,65,85
Poverty,66,5
0,66,85
mother,66,85
0,66,85
of,66,85
crime,66,85
0,67,85
0,67,85
generation,67,85
0,67,85
0,67,85
0,67,85
0,68,85
0,68,85
generation,68,85
0,68,85
gun,68,5
generation,68,85
0,69,85
0,69,85
policy,69,85
0,69,85
0,69,85
0,69,85
government,70,5
0,70,85
can,70,85
0,70,85
0,70,85
0,70,85
0,71,85
0,71,85
policy,71,85
0,71,85
income,71,5
policy,71,85
You,72,85
gun,72,5
divorce,72,85
0,72,85
0,72,85
0,72,85
0,73,85
0,73,85
brother,73,85
0,73,85
0,73,85
0,73,85
0,74,85
0,74,85
brother,74,85
0,74,85
of,74,85
poor,74,5
Poverty,75,5
0,75,85
mother,75,85
0,75,85
0,75,85
0,75,85
debt,76,6
0,76,85
measured,76,85
0,76,85
0,76,85
0,76,85
0,77,85
0,77,85
calculus,77,85
0,77,85
political,77,85
calculus,77,85
democracy,78,6
problem,78,85
solve,78,85
0,78,85
0,78,85
0,78,85
set,79,85
0,79,85
analysis,79,85
0,79,85
0,79,85
0,79,85
0,80,85
0,80,85
calculus,80,85
0,80,85
changing,80,85
calculus,80,85
model,81,85
poverty,81,6
forecast,81,85
0,81,85
0,81,85
0,81,85
0,82,85
0,82,85
experimented,82,85
0,82,85
0,82,85
0,82,85
McClintock,83,85
re-enactment,83,6
explored,83,85
0,83,85
in,83,85
relation,83,85
set,84,85
0,84,85
analysis,84,85
0,84,85
routine,84,85
analysis,84,85
0,85,85
0,85,85
calculus,85,85
0,85,85
of,85,85
control,85,6
0,86,85
0,86,85
illness,86,85
0,86,85
unnecessary,86,85
illness,86,85
municipality,87,85
tax,87,6
formulates,87,85
0,87,85
0,87,85
0,87,85
0,88,85
0,88,85
illness,88,85
0,88,85
0,88,85
0,88,85
Democracy,89,6
0,89,85
physic,89,85
0,89,85
0,89,85
0,89,85
0,90,85
0,90,85
way,90,85
0,90,85
0,90,85
0,90,85
0,91,85
0,91,85
calculus,91,85
0,91,85
voter,91,6
calculus,91,85
money,92,6
0,92,85
evolves,92,85
0,92,85
0,92,85
0,92,85
SIC,93,85
government,93,6
-RSB-,93,85
0,93,85
a,93,85
gaurdian,93,85
0,94,85
0,94,85
calculus,94,85
0,94,85
0,94,85
0,94,85
SIC,95,85
government,95,6
-RSB-,95,85
0,95,85
0,95,85
0,95,85
0,96,85
0,96,85
analysis,96,85
0,96,85
in,96,85
Florida,96,85
Larson,97,85
0,97,85
selected,97,85
0,97,85
0,97,85
0,97,85
0,98,85
0,98,85
experimented,98,85
0,98,85
bureaucracy,98,6
experimented,98,85
0,99,85
0,99,85
way,99,85
0,99,85
to,99,85
inequality,99,6
0,100,85
0,100,85
calculus,100,85
0,100,85
0,100,85
0,100,85
0,101,85
0,101,85
analysis,101,85
0,101,85
governmental,101,6
analysis,101,85
model,102,85
poverty,102,6
forecast,102,85
0,102,85
through,102,85
mid-1970s,102,85
0,103,85
poverty,103,6
measuring,103,85
0,103,85
0,103,85
0,103,85
0,104,85
0,104,85
experimented,104,85
0,104,85
with,104,85
model,104,85
0,105,85
0,105,85
Recordings,105,85
0,105,85
homelessness1.Appleseed,105,85
Recordings,105,85
0,106,85
0,106,85
issue,106,85
0,106,85
0,106,85
0,106,85
0,107,85
0,107,85
rank,107,85
0,107,85
top,107,85
rank,107,85
0,108,85
inequality,108,7
fighting,108,85
0,108,85
0,108,85
0,108,85
estate,109,85
tax,109,7
face,109,85
0,109,85
0,109,85
0,109,85
gun,110,7
0,110,85
enemy,110,85
0,110,85
0,110,85
0,110,85
0,111,85
0,111,85
side,111,85
0,111,85
's,111,85
government,111,7
I,112,85
bureaucracy,112,7
defy,112,85
0,112,85
0,112,85
0,112,85
0,113,85
0,113,85
resistance,113,85
0,113,85
tax,113,7
resistance,113,85
Yong,114,85
0,114,85
Defeated,114,85
0,114,85
by,114,85
Poverty,114,7
0,115,85
0,115,85
politics,115,85
0,115,85
0,115,85
0,115,85
0,116,85
poverty,116,7
overcoming,116,85
0,116,85
in,116,85
community,116,85
0,117,85
0,117,85
surrender,117,85
0,117,85
0,117,85
0,117,85
0,118,85
0,118,85
unrest,118,85
0,118,85
recent,118,85
unrest,118,85
0,119,85
0,119,85
issue,119,85
0,119,85
control,119,7
issue,119,85
0,120,85
0,120,85
defense,120,85
0,120,85
of,120,85
poor,120,7
0,121,85
control,121,7
fight,121,85
0,121,85
0,121,85
0,121,85
government,122,85
poverty,122,7
fight,122,85
0,122,85
0,122,85
0,122,85
0,123,85
0,123,85
defeat,123,85
0,123,85
0,123,85
0,123,85
0,124,85
0,124,85
defeat,124,85
0,124,85
at,124,85
poll,124,7
0,125,85
0,125,85
Faces,125,85
0,125,85
0,125,85
0,125,85
0,126,85
0,126,85
former,126,85
0,126,85
democracy,126,7
former,126,85
It,127,85
0,127,85
victory,127,85
0,127,85
0,127,85
0,127,85
0,128,85
0,128,85
former,128,85
0,128,85
0,128,85
0,128,85
It,129,85
0,129,85
victory,129,85
0,129,85
huge,129,85
victory,129,85
I,130,85
owner,130,7
attack,130,85
0,130,85
0,130,85
0,130,85
0,131,85
0,131,85
side,131,85
0,131,85
0,131,85
0,131,85
0,132,85
poverty,132,7
combat,132,85
0,132,85
0,132,85
0,132,85
0,133,85
0,133,85
unrest,133,85
0,133,85
0,133,85
0,133,85
Conservatives,134,85
control,134,7
say,134,85
0,134,85
0,134,85
0,134,85
0,135,85
control,135,7
fighting,135,85
0,135,85
0,135,85
0,135,85
0,136,85
0,136,85
problem,136,85
0,136,85
of,136,85
poverty,136,7
0,137,85
violence,137,7
solving,137,85
0,137,85
0,137,85
0,137,85
gun,138,7
0,138,85
problem,138,85
0,138,85
0,138,85
0,138,85
0,139,85
you,139,85
fought,139,85
0,139,85
0,139,85
0,139,85
It,140,85
0,140,85
victory,140,85
0,140,85
psychological,140,85
victory,140,85
It,141,85
0,141,85
victory,141,85
0,141,85
for,141,85
control,141,7
0,142,85
0,142,85
gain,142,85
0,142,85
against,142,85
poverty,142,7
0,143,85
0,143,85
unrest,143,85
0,143,85
post-election,143,7
unrest,143,85
0,144,85
0,144,85
defeat,144,85
0,144,85
0,144,85
0,144,85
wealth,145,7
0,145,85
enemy,145,85
0,145,85
of,145,85
faith,145,85
0,146,85
0,146,85
enemy,146,85
0,146,85
0,146,85
0,146,85
0,147,85
0,147,85
enemy,147,85
0,147,85
of,147,85
democracy,147,7
Yong,148,85
0,148,85
Defeated,148,85
0,148,85
0,148,85
0,148,85
0,149,85
0,149,85
politics,149,85
0,149,85
American,149,85
politics,149,85
0,150,85
0,150,85
proxy,150,85
0,150,85
0,150,85
0,150,85
0,151,85
0,151,85
proxy,151,85
0,151,85
for,151,85
government,151,7
0,152,85
hunger,152,7
fighting,152,85
0,152,85
for,152,85
Bank,152,85
0,153,85
0,153,85
mired,153,85
0,153,85
in,153,85
poverty,153,7
0,154,85
0,154,85
problem,154,85
0,154,85
0,154,85
0,154,85
0,155,85
0,155,85
overthrow,155,85
0,155,85
0,155,85
0,155,85
0,156,85
0,156,85
mired,156,85
0,156,85
0,156,85
0,156,85
0,157,85
0,157,85
fight,157,85
0,157,85
against,157,85
poverty,157,7
0,158,85
0,158,85
rank,158,85
0,158,85
0,158,85
0,158,85
0,159,85
0,159,85
gain,159,85
0,159,85
dramatic,159,85
gain,159,85
0,160,85
0,160,85
defeat,160,85
0,160,85
of,160,85
wealth,160,7
0,161,85
0,161,85
conflict,161,85
0,161,85
bureaucratic,161,7
conflict,161,85
0,162,85
0,162,85
conflict,162,85
0,162,85
0,162,85
0,162,85
0,163,85
0,163,85
defense,163,85
0,163,85
0,163,85
0,163,85
who,164,85
poverty,164,7
overcame,164,85
0,164,85
0,164,85
0,164,85
you,165,85
gun,165,7
attacking,165,85
0,165,85
0,165,85
0,165,85
0,166,85
regulation,166,7
harmonizing,166,85
0,166,85
0,166,85
0,166,85
0,167,85
regulation,167,7
harmonizing,167,85
0,167,85
because,167,85
regulation,167,85
0,168,85
election,168,7
contending,168,85
0,168,85
0,168,85
0,168,85
0,169,85
0,169,85
surrender,169,85
0,169,85
unconditional,169,85
surrender,169,85
0,170,85
0,170,85
right,170,85
0,170,85
0,170,85
0,170,85
0,171,85
0,171,85
resistance,171,85
0,171,85
0,171,85
0,171,85
0,172,85
0,172,85
fight,172,85
0,172,85
0,172,85
0,172,85
gun,173,7
0,173,85
problem,173,85
0,173,85
real,173,85
problem,173,85
control,174,85
control,174,7
fight,174,85
0,174,85
0,174,85
0,174,85
0,175,85
0,175,85
talent,175,85
0,175,85
0,175,85
0,175,85
estate,176,85
tax,176,7
face,176,85
0,176,85
in,176,85
2004,176,85
0,177,85
0,177,85
Congress,177,85
0,177,85
0,177,85
0,177,85
0,178,85
control,178,7
fight,178,85
0,178,85
0,178,85
0,178,85
0,179,85
0,179,85
rank,179,85
0,179,85
of,179,85
management,179,7
0,180,85
0,180,85
right,180,85
0,180,85
democracy,180,7
right,180,85
0,181,85
0,181,85
</a>,181,85
0,181,85
tough,181,85
</a>,181,85
we,182,85
homelessness,182,7
end,182,85
0,182,85
0,182,85
0,182,85
0,183,85
0,183,85
</a>,183,85
0,183,85
0,183,85
0,183,85
0,184,85
0,184,85
</a>,184,85
0,184,85
against,184,85
Crist,184,85
0,185,85
0,185,85
victory,185,85
0,185,85
0,185,85
0,185,85
0,186,85
0,186,85
victory,186,85
0,186,85
of,186,85
taxation,186,7
0,187,85
0,187,85
victory,187,85
0,187,85
with,187,85
cliff,187,85
0,188,85
poverty,188,7
overcoming,188,85
0,188,85
0,188,85
0,188,85
0,189,85
0,189,85
style,189,85
0,189,85
0,189,85
0,189,85
0,190,85
Elections,190,7
capture,190,85
0,190,85
0,190,85
0,190,85
0,191,85
hunger,191,7
fighting,191,85
0,191,85
0,191,85
0,191,85
0,192,85
0,192,85
power,192,85
0,192,85
0,192,85
0,192,85
0,193,85
0,193,85
style,193,85
0,193,85
of,193,85
democracy,193,7
0,194,85
0,194,85
defence,194,85
0,194,85
0,194,85
0,194,85
control,195,7
0,195,85
negotiate,195,85
0,195,85
0,195,85
0,195,85
0,196,85
0,196,85
defence,196,85
0,196,85
of,196,85
freedom,196,7
0,197,85
0,197,85
gravity,197,85
0,197,85
0,197,85
0,197,85
0,198,85
0,198,85
chi,198,85
0,198,85
money,198,8
chi,198,85
0,199,85
0,199,85
ability,199,85
0,199,85
for,199,85
government,199,8
0,200,85
0,200,85
gravity,200,85
0,200,85
inescapable,200,85
gravity,200,85
0,201,85
0,201,85
energy,201,85
0,201,85
of,201,85
democracy,201,8
0,202,85
0,202,85
power,202,85
0,202,85
municipal,202,85
power,202,85
Apathy,203,85
0,203,85
fuel,203,85
0,203,85
of,203,85
bureaucracy,203,8
0,204,85
0,204,85
explosion,204,85
0,204,85
of,204,85
poverty,204,8
0,205,85
0,205,85
energy,205,85
0,205,85
high-level,205,85
energy,205,85
0,206,85
0,206,85
gravity,206,85
0,206,85
diplomatic,206,8
gravity,206,85
0,207,85
0,207,85
heat,207,85
0,207,85
searing,207,85
heat,207,85
0,208,85
0,208,85
power,208,85
0,208,85
0,208,85
0,208,85
0,209,85
0,209,85
power,209,85
0,209,85
totalitarian,209,8
power,209,85
0,210,85
0,210,85
amount,210,85
0,210,85
of,210,85
money,210,8
0,211,85
0,211,85
power,211,85
0,211,85
of,211,85
self-government,211,8
Apathy,212,85
0,212,85
fuel,212,85
0,212,85
0,212,85
0,212,85
0,213,85
0,213,85
energy,213,85
0,213,85
0,213,85
0,213,85
0,214,85
0,214,85
power,214,85
0,214,85
0,214,85
0,214,85
government,215,8
0,215,85
indispensable,215,85
0,215,85
in,215,85
change,215,85
money,216,8
0,216,85
fuel,216,85
0,216,85
0,216,85
0,216,85
money,217,8
0,217,85
fuel,217,85
0,217,85
of,217,85
machine,217,85
0,218,85
0,218,85
explosion,218,85
0,218,85
of,218,85
democracy,218,8
Government,219,85
regulation,219,8
introduces,219,85
0,219,85
0,219,85
0,219,85
inequality,220,8
segregation,220,85
driving,220,85
0,220,85
0,220,85
0,220,85
0,221,85
0,221,85
Warmed,221,85
0,221,85
0,221,85
0,221,85
0,222,85
0,222,85
ineffectiveness,222,85
0,222,85
0,222,85
0,222,85
0,223,85
0,223,85
energy,223,85
0,223,85
's,223,85
outfit,223,85
0,224,85
0,224,85
efficiency,224,85
0,224,85
0,224,85
0,224,85
0,225,85
0,225,85
efficiency,225,85
0,225,85
service,225,8
efficiency,225,85
0,226,85
0,226,85
ineffectiveness,226,85
0,226,85
of,226,85
control,226,8
government,227,8
0,227,85
indispensable,227,85
0,227,85
0,227,85
0,227,85
0,228,85
0,228,85
energy,228,85
0,228,85
of,228,85
poor,228,8
0,229,85
0,229,85
heat,229,85
0,229,85
of,229,85
government,229,8
0,230,85
0,230,85
Warmed,230,85
0,230,85
by,230,85
wealth,230,8
process,231,85
state,231,8
generate,231,85
0,231,85
0,231,85
0,231,85
0,232,85
0,232,85
heat,232,85
0,232,85
due,232,85
heat,232,85
0,233,85
0,233,85
energy,233,85
0,233,85
0,233,85
0,233,85
0,234,85
0,234,85
energy,234,85
0,234,85
kinetic,234,85
energy,234,85
0,235,85
0,235,85
heat,235,85
0,235,85
0,235,85
0,235,85
0,236,85
0,236,85
energy,236,85
0,236,85
0,236,85
0,236,85
0,237,85
0,237,85
energy,237,85
0,237,85
for,237,85
control,237,8
0,238,85
0,238,85
energy,238,85
0,238,85
0,238,85
0,238,85
0,239,85
0,239,85
explosion,239,85
0,239,85
0,239,85
0,239,85
0,240,85
0,240,85
chi,240,85
0,240,85
0,240,85
0,240,85
0,241,85
0,241,85
power,241,85
0,241,85
competent,241,85
power,241,85
government,242,8
0,242,85
indispensable,242,85
0,242,85
In,242,85
change,242,85
0,243,85
0,243,85
outlined,243,85
0,243,85
0,243,85
0,243,85
tax,244,9
thing,244,85
punish,244,85
0,244,85
0,244,85
0,244,85
0,245,85
0,245,85
outlined,245,85
0,245,85
in,245,85
regulation,245,9
0,246,85
0,246,85
rule,246,85
0,246,85
0,246,85
0,246,85
0,247,85
0,247,85
rule,247,85
0,247,85
of,247,85
democracy,247,9
0,248,85
0,248,85
addiction,248,85
0,248,85
election,248,10
addiction,248,85
money,249,85
0,249,85
cocaine,249,85
0,249,85
of,249,85
government,249,10
0,250,85
0,250,85
drunk,250,85
0,250,85
on,250,85
democracy,250,10
0,251,85
0,251,85
pusher,251,85
0,251,85
immoral,251,85
pusher,251,85
people,252,85
0,252,85
addicted,252,85
0,252,85
to,252,85
poor,252,10
0,253,85
0,253,85
habit,253,85
0,253,85
Democratic,253,10
habit,253,85
I,254,85
0,254,85
high,254,85
0,254,85
0,254,85
0,254,85
0,255,85
0,255,85
habit,255,85
0,255,85
common,255,85
habit,255,85
0,256,85
0,256,85
addiction,256,85
0,256,85
0,256,85
0,256,85
0,257,85
0,257,85
pusher,257,85
0,257,85
gun,257,10
pusher,257,85
government,258,10
power,258,85
craves,258,85
0,258,85
different,258,85
craves,258,85
0,259,85
0,259,85
pusher,259,85
0,259,85
0,259,85
0,259,85
0,260,85
0,260,85
inebriate,260,85
0,260,85
0,260,85
0,260,85
poverty,261,10
child,261,85
compels,261,85
0,261,85
According,261,85
Organization,261,85
poverty,262,10
child,262,85
compels,262,85
0,262,85
0,262,85
0,262,85
0,263,85
0,263,85
habit,263,85
0,263,85
0,263,85
0,263,85
left,264,85
0,264,85
intoxicated,264,85
0,264,85
0,264,85
0,264,85
0,265,85
0,265,85
overdose,265,85
0,265,85
0,265,85
0,265,85
government,266,10
power,266,85
craves,266,85
0,266,85
0,266,85
0,266,85
I,267,85
0,267,85
high,267,85
0,267,85
on,267,85
democracy,267,10
0,268,85
0,268,85
addiction,268,85
0,268,85
of,268,85
control,268,10
democracy,269,10
0,269,85
addictive,269,85
0,269,85
0,269,85
0,269,85
left,270,85
0,270,85
intoxicated,270,85
0,270,85
by,270,85
election,270,10
0,271,85
0,271,85
overdose,271,85
0,271,85
bureaucratic,271,10
overdose,271,85
0,272,85
0,272,85
drug,272,85
0,272,85
0,272,85
0,272,85
money,273,85
0,273,85
cocaine,273,85
0,273,85
0,273,85
0,273,85
0,274,85
0,274,85
overdose,274,85
0,274,85
of,274,85
bureaucracy,274,10
0,275,85
0,275,85
carpet,275,85
0,275,85
0,275,85
0,275,85
0,276,85
0,276,85
thread,276,85
0,276,85
pro/anti,276,85
thread,276,85
0,277,85
0,277,85
drapery,277,85
0,277,85
0,277,85
0,277,85
0,278,85
0,278,85
thread,278,85
0,278,85
0,278,85
0,278,85
you,279,85
0,279,85
thread,279,85
0,279,85
0,279,85
0,279,85
0,280,85
0,280,85
thread,280,85
0,280,85
control,280,11
thread,280,85
0,281,85
0,281,85
drapery,281,85
0,281,85
of,281,85
democracy,281,11
0,282,85
0,282,85
carpet,282,85
0,282,85
bureaucratic,282,11
carpet,282,85
0,283,85
0,283,85
thread,283,85
0,283,85
0,283,85
0,283,85
you,284,85
0,284,85
thread,284,85
0,284,85
control,284,11
thread,284,85
It,285,85
poverty,285,11
weave,285,85
0,285,85
0,285,85
0,285,85
0,286,85
0,286,85
thread,286,85
0,286,85
firearm,286,11
thread,286,85
worker,287,85
0,287,85
sink,287,85
0,287,85
0,287,85
0,287,85
American,288,85
0,288,85
drowned,288,85
0,288,85
out,288,85
drowned,288,85
0,289,85
0,289,85
Pool,289,85
0,289,85
0,289,85
0,289,85
0,290,85
0,290,85
flow,290,85
0,290,85
0,290,85
0,290,85
0,291,85
0,291,85
flowing,291,85
0,291,85
toward,291,85
election,291,12
Internet,292,85
bureaucracy,292,12
melt,292,85
0,292,85
0,292,85
0,292,85
0,293,85
0,293,85
flow,293,85
0,293,85
of,293,85
gun,293,12
control,294,12
0,294,85
pours,294,85
0,294,85
on,294,85
propaganda,294,85
fund,295,85
0,295,85
pool,295,85
0,295,85
0,295,85
0,295,85
0,296,85
0,296,85
pool,296,85
0,296,85
of,296,85
money,296,12
0,297,85
0,297,85
Too,297,85
0,297,85
0,297,85
0,297,85
0,298,85
0,298,85
ripple,298,85
0,298,85
new,298,85
ripple,298,85
0,299,85
0,299,85
tsunami,299,85
0,299,85
0,299,85
0,299,85
0,300,85
0,300,85
swirl,300,85
0,300,85
right,300,12
swirl,300,85
0,301,85
0,301,85
flowing,301,85
0,301,85
0,301,85
0,301,85
0,302,85
0,302,85
tsunami,302,85
0,302,85
0,302,85
0,302,85
0,303,85
0,303,85
sea,303,85
0,303,85
of,303,85
tape,303,12
American,304,85
0,304,85
drowned,304,85
0,304,85
by,304,85
tax,304,12
0,305,85
0,305,85
waterfall,305,85
0,305,85
of,305,85
tape,305,12
0,306,85
0,306,85
freeze,306,85
0,306,85
0,306,85
0,306,85
control,307,12
0,307,85
flow,307,85
0,307,85
0,307,85
0,307,85
0,308,85
0,308,85
tsunami,308,85
0,308,85
0,308,85
0,308,85
0,309,85
0,309,85
swirl,309,85
0,309,85
0,309,85
0,309,85
0,310,85
0,310,85
flow,310,85
0,310,85
income,310,12
flow,310,85
0,311,85
0,311,85
stagnates,311,85
0,311,85
0,311,85
0,311,85
0,312,85
0,312,85
flow,312,85
0,312,85
0,312,85
0,312,85
0,313,85
0,313,85
flood,313,85
0,313,85
new,313,85
flood,313,85
fund,314,85
0,314,85
pool,314,85
0,314,85
of,314,85
money,314,12
0,315,85
0,315,85
fish,315,85
0,315,85
0,315,85
0,315,85
0,316,85
0,316,85
fish,316,85
0,316,85
long,316,85
fish,316,85
0,317,85
0,317,85
sea,317,85
0,317,85
of,317,85
control,317,12
0,318,85
0,318,85
flow,318,85
0,318,85
of,318,85
gun,318,12
which,319,85
minister,319,12
filled,319,85
0,319,85
with,319,85
rage,319,85
0,320,85
0,320,85
pool,320,85
0,320,85
0,320,85
0,320,85
0,321,85
0,321,85
fish,321,85
0,321,85
big,321,85
fish,321,85
bureaucracy,322,12
gain,322,85
swamp,322,85
0,322,85
0,322,85
0,322,85
0,323,85
0,323,85
didnt,323,85
0,323,85
wealth,323,12
didnt,323,85
0,324,85
0,324,85
flow,324,85
0,324,85
0,324,85
0,324,85
0,325,85
0,325,85
flow,325,85
0,325,85
0,325,85
0,325,85
0,326,85
0,326,85
flow,326,85
0,326,85
0,326,85
0,326,85
0,327,85
0,327,85
flow,327,85
0,327,85
0,327,85
0,327,85
0,328,85
0,328,85
ripple,328,85
0,328,85
regulation,328,12
ripple,328,85
0,329,85
0,329,85
didnt,329,85
0,329,85
0,329,85
0,329,85
0,330,85
0,330,85
pool,330,85
0,330,85
0,330,85
0,330,85
0,331,85
0,331,85
tsunami,331,85
0,331,85
taxpayer,331,12
tsunami,331,85
0,332,85
0,332,85
vastness,332,85
0,332,85
bureaucratic,332,12
vastness,332,85
which,333,85
minister,333,12
filled,333,85
0,333,85
0,333,85
0,333,85
0,334,85
0,334,85
Sea,334,85
0,334,85
0,334,85
0,334,85
control,335,12
0,335,85
flow,335,85
0,335,85
from,335,85
hatred,335,85
0,336,85
0,336,85
tide,336,85
0,336,85
of,336,85
right,336,12
0,337,85
0,337,85
stagnates,337,85
0,337,85
in,337,85
uncertainty,337,85
0,338,85
0,338,85
tsunami,338,85
0,338,85
fresh,338,85
tsunami,338,85
0,339,85
0,339,85
flood,339,85
0,339,85
0,339,85
0,339,85
0,340,85
0,340,85
waterfall,340,85
0,340,85
0,340,85
0,340,85
0,341,85
0,341,85
sinking,341,85
0,341,85
0,341,85
0,341,85
0,342,85
0,342,85
sea,342,85
0,342,85
0,342,85
0,342,85
Bureaucracy,343,12
government,343,85
engulfed,343,85
0,343,85
0,343,85
0,343,85
worker,344,85
0,344,85
sink,344,85
0,344,85
into,344,85
poverty,344,12
0,345,85
0,345,85
fish,345,85
0,345,85
standing,345,85
fish,345,85
0,346,85
0,346,85
Sea,346,85
0,346,85
of,346,85
Poverty,346,12
0,347,85
0,347,85
flow,347,85
0,347,85
tax,347,12
flow,347,85
0,348,85
0,348,85
flow,348,85
0,348,85
money,348,12
flow,348,85
0,349,85
0,349,85
slush,349,85
0,349,85
0,349,85
0,349,85
taxpayer,350,12
0,350,85
swamped,350,85
0,350,85
by,350,85
tax,350,85
0,351,85
0,351,85
slush,351,85
0,351,85
government,351,12
slush,351,85
0,352,85
0,352,85
flow,352,85
0,352,85
0,352,85
0,352,85
0,353,85
0,353,85
wave,353,85
0,353,85
tidal,353,85
wave,353,85
0,354,85
0,354,85
wave,354,85
0,354,85
0,354,85
0,354,85
0,355,85
0,355,85
wave,355,85
0,355,85
of,355,85
democracy,355,12
0,356,85
0,356,85
stagnates,356,85
0,356,85
democracy,356,12
stagnates,356,85
0,357,85
0,357,85
freeze,357,85
0,357,85
