tref,subj,dobj,syn,verb,iobj,obl1,obl2,label
money1,0,0,[nmod:poss  amod],chi,0,money1,chi,8
governments1,0,0,[det  nmod],ability,0,for,governments1,8
diplomatic1,0,0,[det  amod  acl],gravity,0,inescapable,gravity,8
democracy1,0,0,[case  det  amod  nmod],energy,0,of,democracy1,8
self-government1,0,0,[det  nmod  det  det  acl:relcl  dep  amod  conj  conj  conj  cc  conj  nmod],power,0,municipal,power,8
bureaucracy1,Apathy,0,[nsubj  cop  det  nmod],fuel,0,of,bureaucracy1,8
poverty1,0,0,[det  nmod],explosion,0,of,poverty1,8
bureaucratic1,0,0,[case  amod  amod],energy,0,high-level,energy,8
diplomatic1,0,0,[det  amod  acl],gravity,0,diplomatic1,gravity,8
government1,0,0,[case  det  amod  nmod],heat,0,searing,heat,8
totalitarian1,0,0,[amod],power,0,0,0,8
totalitarian1,0,0,[amod],power,0,totalitarian1,power,8
money1,0,0,[det  nmod],amount,0,of,money1,8
self-government1,0,0,[det  nmod  det  det  acl:relcl  dep  amod  conj  conj  conj  cc  conj  nmod],power,0,of,self-government1,8
bureaucracy1,Apathy,0,[nsubj  cop  det  nmod],fuel,0,0,0,8
democratic1,0,0,[case  amod],energy,0,0,0,8
self-government1,0,0,[det  nmod  det  det  acl:relcl  dep  amod  conj  conj  conj  cc  conj  nmod],power,0,0,0,8
government1,government1,0,[nmod  nsubj  cop],indispensable,0,in,change,8
money1,money1,0,[mark  nsubj  cop  det  nmod],fuel,0,0,0,8
money1,money1,0,[mark  nsubj  cop  det  nmod],fuel,0,of,machine,8
democracy1,0,0,[det  amod  nmod],explosion,0,of,democracy1,8
regulations1,Government,regulations1,[nsubj  dobj],introduces,0,0,0,8
income_inequality1,income_inequality1,segregation,[nsubj  parataxis  aux  dobj],driving,0,0,0,8
wealth1,0,0,[nmod],Warmed,0,0,0,8
gun_control1,0,0,[det  nmod],ineffectiveness,0,0,0,8
gun_control1,0,0,[case  nmod:poss  amod  nmod],energy,0,'s,outfit,8
civil_service1,0,0,[amod],efficiency,0,0,0,8
civil_service1,0,0,[amod],efficiency,0,civil_service1,efficiency,8
gun_control1,0,0,[det  nmod],ineffectiveness,0,of,gun_control1,8
government1,government1,0,[nmod  nsubj  cop],indispensable,0,0,0,8
the_poor1,0,0,[det  nmod],energy,0,of,the_poor1,8
government1,0,0,[case  det  amod  nmod],heat,0,of,government1,8
wealth1,0,0,[nmod],Warmed,0,by,wealth1,8
the_state1,process,the_state1,[nsubj  aux  advmod  dobj],generate,0,0,0,8
government1,0,0,[case  det  amod  nmod],heat,0,due,heat,8
democracy1,0,0,[case  det  amod  nmod],energy,0,0,0,8
democracy1,0,0,[case  det  amod  nmod],energy,0,kinetic,energy,8
government1,0,0,[case  det  amod  nmod],heat,0,0,0,8
bureaucratic1,0,0,[case  amod  amod],energy,0,0,0,8
gun_control1,0,0,[case  nmod:poss  amod  nmod],energy,0,for,gun_control1,8
the_poor1,0,0,[det  nmod],energy,0,0,0,8
democracy1,0,0,[det  amod  nmod],explosion,0,0,0,8
wealth1,0,0,[amod],chi,0,0,0,8
self-government1,0,0,[det  nmod  det  det  acl:relcl  dep  amod  conj  conj  conj  cc  conj  nmod],power,0,competent,power,8
government1,government1,0,[nmod  nsubj  cop],indispensable,0,In,change,8
regulations1,0,0,[mark  nmod],outlined,0,0,0,9
Income_taxes1,Income_taxes1,thing,[nsubj  dobj],punish,0,0,0,9
regulations1,0,0,[mark  nmod],outlined,0,in,regulations1,9
democracy1,0,0,[case  det  nmod],rule,0,0,0,9
democracy1,0,0,[case  det  nmod],rule,0,of,democracy1,9
election1,0,0,[amod],addiction,0,election1,addiction,10
federal_government1,money,0,[advmod  mark  nsubj  cop  det  nmod  det  case  dep],cocaine,0,of,federal_government1,10
democracy1,0,0,[nmod],drunk,0,on,democracy1,10
gun1,0,0,[case  amod  amod],pusher,0,immoral,pusher,10
being_poor1,people,0,[nsubj  nmod],addicted,0,to,being_poor1,10
Democratic1,0,0,[det  amod  amod  acl:relcl],habit,0,Democratic1,habit,10
democracy1,I,0,[nsubj  cop  nmod],high,0,0,0,10
Democratic1,0,0,[det  amod  amod  acl:relcl],habit,0,common,habit,10
election1,0,0,[amod],addiction,0,0,0,10
gun1,0,0,[case  amod  amod],pusher,0,gun1,pusher,10
government1,government1,power,[nsubj  dobj  cc  conj],craves,0,different,craves,10
gun1,0,0,[case  amod  amod],pusher,0,0,0,10
money1,0,0,[amod  appos],inebriate,0,0,0,10
poverty1,poverty1,child,[nmod  nsubj  dobj  advcl],compels,0,According,Organization,10
poverty1,poverty1,child,[nmod  nsubj  dobj  advcl],compels,0,0,0,10
Democratic1,0,0,[det  amod  amod  acl:relcl],habit,0,0,0,10
election1,left,0,[nsubjpass  auxpass  nmod],intoxicated,0,0,0,10
bureaucracy1,0,0,[case  det  nmod  cc  conj],overdose,0,0,0,10
government1,government1,power,[nsubj  dobj  cc  conj],craves,0,0,0,10
democracy1,I,0,[nsubj  cop  nmod],high,0,on,democracy1,10
gun_control1,0,0,[case  det  nmod],addiction,0,of,gun_control1,10
democracy1,democracy1,0,[nsubj  cop],addictive,0,0,0,10
election1,left,0,[nsubjpass  auxpass  nmod],intoxicated,0,by,election1,10
bureaucratic1,0,0,[case  amod],overdose,0,bureaucratic1,overdose,10
Democracy1,0,0,[det  nmod],drug,0,0,0,10
federal_government1,money,0,[advmod  mark  nsubj  cop  det  nmod  det  case  dep],cocaine,0,0,0,10
bureaucracy1,0,0,[case  det  nmod  cc  conj],overdose,0,of,bureaucracy1,10
bureaucratic1,0,0,[case  det  amod],carpet,0,0,0,11
firearm1,0,0,[case  amod  amod],thread,0,pro/anti,thread,11
democracy1,0,0,[case  det  nmod],drapery,0,0,0,11
gun_control1,0,0,[case  det  amod],thread,0,0,0,11
gun_control1,you,0,[nsubj  aux  cop  case  det  amod],thread,0,0,0,11
gun_control1,0,0,[case  det  amod],thread,0,gun_control1,thread,11
democracy1,0,0,[case  det  nmod],drapery,0,of,democracy1,11
bureaucratic1,0,0,[case  det  amod],carpet,0,bureaucratic1,carpet,11
firearm1,0,0,[case  amod  amod],thread,0,0,0,11
gun_control1,you,0,[nsubj  aux  cop  case  det  amod],thread,0,gun_control1,thread,11
poverty1,It,poverty1,[nsubj  aux  dobj],weave,0,0,0,11
firearm1,0,0,[case  amod  amod],thread,0,firearm1,thread,11
poverty1,worker,0,[mark  nsubj  advmod  nmod],sink,0,0,0,12
taxes1,American,0,[nsubjpass  aux  auxpass  nmod  cc  conj],drowned,0,out,drowned,12
Sales_Tax1,0,0,[case  det  compound  compound  compound  compound],Pool,0,0,0,12
firearms1,0,0,[det  nmod],flow,0,0,0,12
presidential_elections1,0,0,[nmod],flowing,0,toward,presidential_elections1,12
bureaucracy1,Internet,bureaucracy1,[mark  nsubj  aux  dobj],melt,0,0,0,12
guns1,0,0,[det  nmod],flow,0,of,guns1,12
gun_control1,gun_control1,0,[nsubj  nmod],pours,0,on,propaganda,12
money1,fund,0,[nsubj  cop  nmod],pool,0,0,0,12
moneys1,0,0,[case  det  nmod  case  det],pool,0,of,moneys1,12
Poverty1,0,0,[advmod  case  compound  compound  compound  compound],Too,0,0,0,12
regulations1,0,0,[case  det  amod  compound  amod],ripple,0,new,ripple,12
red_tape1,0,0,[det  amod  nmod],tsunami,0,0,0,12
gun_rights1,0,0,[nmod:poss  amod],swirl,0,gun_rights1,swirl,12
presidential_elections1,0,0,[nmod],flowing,0,0,0,12
poverty1,0,0,[det  amod],tsunami,0,0,0,12
red_tape1,0,0,[case  det  nmod],sea,0,of,red_tape1,12
taxes1,American,0,[nsubjpass  aux  auxpass  nmod  cc  conj],drowned,0,by,taxes1,12
red_tape1,0,0,[case  det  nmod],waterfall,0,of,red_tape1,12
tax1,0,0,[det  amod],freeze,0,0,0,12
Gun_control1,Gun_control1,0,[nsubj  advmod  nmod],flow,0,0,0,12
taxpayer1,0,0,[mark  cop  det  amod  acl:relcl],tsunami,0,0,0,12
gun_rights1,0,0,[nmod:poss  amod],swirl,0,0,0,12
income1,0,0,[amod],flow,0,income1,flow,12
democracy1,0,0,[case  nmod:poss  amod  amod  nmod],stagnates,0,0,0,12
income1,0,0,[case  compound],flow,0,0,0,12
wealth1,0,0,[case  amod  amod],flood,0,new,flood,12
money1,fund,0,[nsubj  cop  nmod],pool,0,of,money1,12
anti-gun1,0,0,[det  amod  amod  amod  nmod],fish,0,0,0,12
anti-gun1,0,0,[det  amod  amod  amod  nmod],fish,0,long,fish,12
gun_control1,0,0,[case  det  nmod],sea,0,of,gun_control1,12
guns1,0,0,[det  nmod],flow,0,of,guns1,12
prime_minister1,which,prime_minister1,[nsubj  dobj  nmod],filled,0,with,rage,12
money1,0,0,[det  amod  acl],pool,0,0,0,12
anti-gun1,0,0,[det  amod  amod  amod  nmod],fish,0,big,fish,12
bureaucracy1,bureaucracy1,gain,[mark  nsubj  dobj],swamp,0,0,0,12
wealth1,0,0,[det  amod],didnt,0,wealth1,didnt,12
income1,0,0,[amod],flow,0,0,0,12
money1,0,0,[case  amod],flow,0,0,0,12
gasoline_taxes1,0,0,[case  det  amod],flow,0,0,0,12
guns1,0,0,[det  nmod],flow,0,0,0,12
regulations1,0,0,[case  det  amod  compound  amod],ripple,0,regulations1,ripple,12
wealth1,0,0,[det  amod],didnt,0,0,0,12
moneys1,0,0,[case  det  nmod  case  det],pool,0,0,0,12
taxpayer1,0,0,[mark  cop  det  amod  acl:relcl],tsunami,0,taxpayer1,tsunami,12
bureaucratic1,0,0,[nmod:poss  amod  amod  cc  conj],vastness,0,bureaucratic1,vastness,12
prime_minister1,which,prime_minister1,[nsubj  dobj  nmod],filled,0,0,0,12
Poverty1,0,0,[case  det  nmod  dep],Sea,0,0,0,12
Gun_control1,Gun_control1,0,[nsubj  advmod  nmod],flow,0,from,hatred,12
gun_rights1,0,0,[det  nmod],tide,0,of,gun_rights1,12
democracy1,0,0,[case  nmod:poss  amod  amod  nmod],stagnates,0,in,uncertainty,12
red_tape1,0,0,[det  amod  nmod],tsunami,0,fresh,tsunami,12
wealth1,0,0,[case  amod  amod],flood,0,0,0,12
red_tape1,0,0,[case  det  nmod],waterfall,0,0,0,12
poverty1,0,0,[mark  nmod],sinking,0,0,0,12
gun_control1,0,0,[case  det  nmod],sea,0,0,0,12
Bureaucracy1,Bureaucracy1,government,[nsubj  dobj  advcl],engulfed,0,0,0,12
poverty1,worker,0,[mark  nsubj  advmod  nmod],sink,0,into,poverty1,12
anti-gun1,0,0,[det  amod  amod  amod  nmod],fish,0,standing,fish,12
Poverty1,0,0,[case  det  nmod  dep],Sea,0,of,Poverty1,12
gasoline_taxes1,0,0,[case  det  amod],flow,0,gasoline_taxes1,flow,12
money1,0,0,[case  amod],flow,0,money1,flow,12
government1,0,0,[case  amod],slush,0,0,0,12
taxpayers1,taxpayers1,0,[advcl  nsubjpass  auxpass  nmod],swamped,0,by,tax,12
government1,0,0,[case  amod],slush,0,government1,slush,12
guns1,0,0,[det  nmod],flow,0,0,0,12
democracy1,0,0,[det  amod  nmod],wave,0,tidal,wave,12
democracy1,0,0,[det  amod  nmod],wave,0,0,0,12
democracy1,0,0,[det  amod  nmod],wave,0,of,democracy1,12
democracy1,0,0,[case  nmod:poss  amod  amod  nmod],stagnates,0,democracy1,stagnates,12
tax1,0,0,[det  amod],freeze,0,tax1,freeze,12
local_government1,0,0,[amod],strengthening,0,0,0,13
local_government1,0,0,[amod],strengthening,0,local_government1,strengthening,13
democratic_government1,0,0,[case  det  amod  amod  amod  nmod],country,0,stable,country,13
governments1,governments1,0,[nsubj  aux  neg  xcomp],like,0,0,0,13
Democracy1,Democracy1,0,[nsubjpass  auxpass  nmod],Strengthened,0,by,Light,13
democracy1,0,democracy1,[mark  dobj],consolidating,0,0,0,13
democracy1,0,democracy1,[dobj],strengthening,0,0,0,13
democracy1,0,0,[det  amod  nmod  nmod  nmod  conj  cc  conj],resiliency,0,0,0,13
gun_laws1,0,gun_laws1,[mark  dobj],strengthen,0,0,0,13
gun_control1,Switzerland,gun_control1,[mark  nsubj  dep  aux  dobj  advcl],MUCH,0,0,0,13
Government1,Government1,commitment,[nmod  nsubj  aux  dobj  nmod  nmod],strengthen,0,below,level,13
Government1,Government1,commitment,[nmod  nsubj  aux  dobj  nmod  nmod],strengthen,0,to,nine,13
prosperous1,0,0,[case  det  amod  cc  conj],powerhouse,0,prosperous1,powerhouse,13
Government1,Government1,commitment,[nmod  nsubj  aux  dobj  nmod  nmod],strengthen,0,0,0,13
Government1,Government1,commitment,[nmod  nsubj  aux  dobj  nmod  nmod],strengthen,0,During,emission,13
democratic_government1,0,0,[case  det  amod  amod  amod  nmod],country,0,Shiite,country,13
democratic_government1,0,0,[case  det  amod  amod  amod  nmod],country,0,along,border,13
gun_control1,that,gun_control1,[nsubj  dobj],have,0,0,0,13
democratic_processes1,0,democratic_processes1,[mark  dobj  nmod],strengthen,0,0,0,13
income1,0,0,[amod  acl:relcl],strength,0,0,0,13
democracy1,0,democracy1,[mark  dobj  cc  conj],bolstering,0,0,0,13
voting1,0,0,[case  nmod:poss  amod],strength,0,0,0,13
voting1,0,0,[case  nmod:poss  amod],strength,0,voting1,strength,13
democracy1,0,0,[det  amod  nmod  nmod  nmod  conj  cc  conj],resiliency,0,of,challenge,13
democracy1,0,0,[det  amod  nmod  nmod  nmod  conj  cc  conj],resiliency,0,in,1980s,13
government1,government1,0,[nsubj  cop  cc  conj],stable,0,0,0,13
democracy1,0,democracy1,[mark  dobj  conj  conj  conj  cc  conj],strengthen,0,0,0,13
diplomatic1,0,0,[amod],dexterity,0,diplomatic1,dexterity,13
